slug,domain,name_en,name_zh,products,category,founded_year,hq_city,certifications,target_markets,pricing_model,confidence,last_verified,canonical
01-ai,01.ai,01.AI,零一万物,Yi Foundation Models|Yi-Lightning Mixture-of-Experts LLM|WorldWise Enterprise LLM Platform|Enterprise AI Agent Tailored Solutions|Yi Open-source,ai-llm,,,,Global,unknown,1.0,2026-06-26,https://sinofacts.com/companies/01-ai
17track-net,17track.net,17TRACK,,Shopify App|Tracking API|17TRACK Mobile App|Tracking Widget,other,,,GDPR,Global,,0.636,2026-06-12,https://sinofacts.com/companies/17track-net
1panel-pro,1panel.pro,1Panel,1Panel,1Panel,other,,,,Global,freemium,0.786,2026-06-13,https://sinofacts.com/companies/1panel-pro
302-ai,302.ai,302.AI,302.AI,302.AI,other,,,,,usage-based,0.889,2026-06-12,https://sinofacts.com/companies/302-ai
4paradigm-com,4paradigm.com,4Paradigm,,4Paradigm Sage AIOS|4Paradigm Sage HyperCycle|4Paradigm SageOne|4Paradigm Marketing|4Paradigm SageGPT,ai-platform,2014,,GDPR,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/4paradigm-com
accio-com,accio.com,Accio,Accio(阿里国际),Accio Work,ai-search,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/accio-com
acestudio-ai,acestudio.ai,ACE Studio,时域科技,ACE Studio,ai-audio,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/acestudio-ai
adspower-com,adspower.com,AdsPower,,AdsPower,ecommerce-saas,,,,Global,freemium,0.917,2026-06-12,https://sinofacts.com/companies/adspower-com
advance-ai,advance.ai,ADVANCE.AI,,AdvanGuard Solution,fintech-saas,2016,Singapore,ISO/IEC 27001:2013|iBeta Level 2,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/advance-ai
affine-pro,affine.pro,AFFiNE,,AFFiNE|AFFiNE AI,other,2022,Singapore,,,freemium,0.833,2026-06-12,https://sinofacts.com/companies/affine-pro
